S1;S2;0;177
S1;S4;0;189
S1;S7;0;98
S1;S9;0;37
S1;S14;0;40
S1;S15;0;89
S1;S17;0;74
S1;S20;0;60
S1;S22;0;187
S1;S24;0;88
S1;S25;0;51
S1;S29;0;175
S1;S30;0;135
S1;S36;0;175
S1;S40;0;161
S1;S45;0;111
S1;S47;0;146
S1;S51;0;190
S1;S53;0;107
S1;S55;0;92
S1;S57;0;103
S1;S63;0;40
S1;S65;0;146
S1;S66;0;166
S1;S68;0;79
S1;S69;0;40
S1;S70;0;116
S1;S76;0;132
S1;S77;0;39
S1;S79;0;66
S1;S80;0;50
S1;S81;0;167
S1;S84;0;190
S1;S87;0;143
S1;S88;0;171
S1;S91;0;66
S1;S92;0;23
S1;S93;0;156
S1;S95;0;168
S1;S96;0;151
S1;S97;0;115
S1;S100;0;24
S1;S104;0;101
S1;S107;0;174
S1;S112;0;181
S1;S117;0;132
S1;S119;0;151
S1;S120;0;115
S1;S121;0;134
S1;S127;0;51
S1;S130;0;125
S1;S131;0;156
S1;S138;0;181
S1;S141;0;124
S1;S142;0;94
S1;S143;0;40
S1;S145;0;199
S1;S146;0;59
S1;S149;0;152
S1;S152;0;172
S1;S154;0;86
S1;S155;0;33
S1;S156;0;73
S1;S161;0;54
S1;S162;0;40
S1;S163;0;123
S1;S164;0;150
S1;S166;0;119
S1;S172;0;109
S1;S173;0;123
S1;S180;0;141
S1;S184;0;43
S1;S185;0;52
S1;S194;0;168
S1;S196;0;83
S1;S197;0;147
S1;S199;0;184
S1;S204;0;174
S1;S206;0;186
S1;S208;0;144
S1;S209;0;175
S1;S214;0;33
S1;S219;0;60
S1;S222;0;35
S1;S224;0;35
S1;S227;0;92
S1;S228;0;110
S1;S231;0;107
S1;S233;0;55
S1;S237;0;30
S1;S239;0;72
S1;S242;0;50
S1;S246;0;91
S1;S250;0;33
S1;S251;0;176
S1;S255;0;70
S1;S258;0;76
S1;S261;0;37
S1;S266;0;172
S1;S269;0;163
S1;S270;0;103
S1;S271;0;168
S1;S272;0;195
S1;S273;0;169
S1;S276;0;104
S1;S278;0;163
S1;S283;0;114
S1;S284;0;107
S1;S285;0;189
S1;S289;0;83
S1;S290;0;167
S1;S293;0;67
S1;S300;0;141
S1;S305;0;70
S1;S306;0;121
S1;S307;0;68
S1;S308;0;172
S1;S309;0;151
S1;S310;0;53
S1;S315;0;97
S1;S316;0;155
S1;S317;0;24
S1;S318;0;50
S1;S321;0;109
S1;S325;0;118
S1;S332;0;164
S1;S334;0;115
S1;S336;0;131
S1;S337;0;48
